Title,Title_link,rev_wrap,Field1,Field2,Field2_link,Field3
Overpriced and poor service,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r285871473-Tibits-London_England.html,Date of visit: July 2015,My second visit here (for my vegan brother's birthday). Food was slightly better than last year but still very over-priced for what is essentially ordinary salad. Staff were not particularly nice this time around - a grouchy waitress bit my partner's head off when he...More,Overpriced and poor service,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r285871473-Tibits-London_England.html,"My second visit here (for my vegan brother's birthday). Food was slightly better than last year but still very over-priced for what is essentially ordinary salad. Staff were not particularly nice this time around - a grouchy waitress bit my partner's head off when he attempted to pick up an onion ring with, shriek, the tongs from the jalapeño croquettes next door. Staff on the tills failed to mention that the bread rolls are complimentary (so do not need to be weighed) - luckily we remembered in time and they then admitted that was the case. We also wanted to bring a small vegan cake with candles but were informed it would cost £1 per head. This seemed rather mean, as the puddings on offer (crumbles, mousses etc - which the guests were happy to purchase, we weren't trying to avoid paying for pudding) were not really suitable for the whole candle thing. In the end we opted to put candles on a portion of crumble rather than fork out another £15 for the privilege of using our own tiny cake!One positive thing (other than the fact that vegans do actually have a decent choice of food here) is the child-friendly atmosphere. In the downstairs area there is a play corner for kids and plenty of room for them to run around without disturbing diners without children.So, happy to come here and celebrate with vegan friends or family, but wouldn't dream of eating here otherwise."
gone from good to bad and from bad to worst,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r285689316-Tibits-London_England.html,Date of visit: August 2014,We were regulars at the Tibits from the beginning because it used to be a nice and customer friendly (and for a while dog friendly as well)  place with good food - with the tasty food and the nice staff we did not mind the...More,gone from good to bad and from bad to worst,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r285689316-Tibits-London_England.html,"We were regulars at the Tibits from the beginning because it used to be a nice and customer friendly (and for a while dog friendly as well) place with good food - with the tasty food and the nice staff we did not mind the high prices; but every year it got worse until nothing of the good things remained - only the high prices. Sad, because being Swiss we were always happy that a Swiss Restaurant had made a success in London. So, I'm sorry to say, we will now definitely not be coming back any more."
Not a surprise Morrissey went there,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r285322071-Tibits-London_England.html,Date of visit: May 2015,"My girl being a huge Morrissey fan and a brilliant mind for picking the best vegetarian(-friendly) restaurants, there was no way we could overlook Tibits while in London.
Two steps away from Piccadilly Circus, this roomy buffet offers an infinite range of delicately prepared dishes...More",Not a surprise Morrissey went there,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r285322071-Tibits-London_England.html,"My girl being a huge Morrissey fan and a brilliant mind for picking the best vegetarian(-friendly) restaurants, there was no way we could overlook Tibits while in London.Two steps away from Piccadilly Circus, this roomy buffet offers an infinite range of delicately prepared dishes including lots of vegan options (both sweet and salty) for an altogether fair bill."
If you think Whole Foods is expensive....,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r284872256-Tibits-London_England.html,Date of visit: June 2015,"This place is at least 50% more than what you would pay at a Whole Foods in the US for similar stuff from their food bar.
(+) Good variety of fresh veggie stuff
(+) Good atmosphere in a hip area of bars, but probably better...More",If you think Whole Foods is expensive....,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r284872256-Tibits-London_England.html,"This place is at least 50% more than what you would pay at a Whole Foods in the US for similar stuff from their food bar.(+) Good variety of fresh veggie stuff(+) Good atmosphere in a hip area of bars, but probably better for women or couples(-) Price: Just like another reviewer mentioned, a fullish plate, not a heaping one like you might get at a buffet, cost about 13 pounds (I think it weighed a bit more than half a kilogram). Wow...."
Great vegetarian food,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r284716251-Tibits-London_England.html,Date of visit: March 2015,"This place is a hidden treasure. Great variety of food included in the buffet. If you are looking for something special, this is the place to go!",Great vegetarian food,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r284716251-Tibits-London_England.html,"This place is a hidden treasure. Great variety of food included in the buffet. If you are looking for something special, this is the place to go!"
,,,,,,
Something for everyone,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r284660609-Tibits-London_England.html,Date of visit: April 2015,Have been a few times now and found the variety to be excellent and a reasonable number of vegan options. The food is mostly hot and fresh but there are times when things look to have been out for some time and become lukewarm which...More,Something for everyone,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r284660609-Tibits-London_England.html,"Have been a few times now and found the variety to be excellent and a reasonable number of vegan options. The food is mostly hot and fresh but there are times when things look to have been out for some time and become lukewarm which happens in a buffet. The staff vary from exceptional to confused but generally the service is good. Yes it can be pricey if you load your plate with heavier items (you pay by the weight of your plate) - just think before you load your plate if you're on a budget. The desserts are great and always a vegan option which is great. Fantastic range of drinks on offer at reasonable prices (for central London).The decor and atmosphere are fabulous, it's always lovely to step away from busy Regent Street and find an oasis where you can chill out in lovely surroundings."
VERY OVERPRICED,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r284238207-Tibits-London_England.html,Date of visit: June 2015,"It is a shame meals here end up so expensive (costed by weight), as the food is good, varied, and the atmosphere and environment really nice. You can sit on a lovely terrace outside or in the main restaurant/bar. There is a big mixture of...More",VERY OVERPRICED,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r284238207-Tibits-London_England.html,"It is a shame meals here end up so expensive (costed by weight), as the food is good, varied, and the atmosphere and environment really nice. You can sit on a lovely terrace outside or in the main restaurant/bar. There is a big mixture of buffet foods, but we were disappointed by the price of our plates, even for central London. So it becomes a very pricey meal out. On the upside the drinks are fabulous, but probably would avoid due to unpredictable price of your food."
Great main courses but I'm still waiting for gluten-free desserts,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r284215395-Tibits-London_England.html,Date of visit: June 2015,I first went a couple of years ago after reading other people's reviews and was suspicious about how almost universally good they were. After my first visit I realised they were well deserved. I've been seven times now and all the food I have had...More,Great main courses but I'm still waiting for gluten-free desserts,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r284215395-Tibits-London_England.html,"I first went a couple of years ago after reading other people's reviews and was suspicious about how almost universally good they were. After my first visit I realised they were well deserved. I've been seven times now and all the food I have had has been excellent although I consider it quite pricey. Staff are helpful and the service is good and I have enjoyed their juices and coffee as well as the food. The food has always been tasty and well seasoned and I have not been disappointed by the taste. I consider it among the best vegetarian restaurants I know.Like many restaurants, the acoustics make it noisy. A place like this should take into account that a lot of its target customers would rather be soothed than deafened and this is something that good design can achieve.My real problem is with the desserts. On my first couple of visits, I didn't really notice but as someone who has a problem with gluten, I realised that other than fresh fruit, cream and yoghourt (VERY overpriced when sold at Tibits prices by weight) the interesting looking, mainly cooked dessert dishes (much enjoyed by my gluten tolerant friends) all contained gluten. On my third and fourth visits I asked whether they ever do any desserts that are gluten-free. I was told they would soon be introducing a new range of desserts and there would be several gluten-free options. That was last year. I'm still waiting. I went last week and they had a rice pudding in addition to the fruit, cream and yoghourt. Why would I bother at their prices? Given the quality of the main courses (and I would also like to see more of the main courses prepared gluten-free) this is disappointing. It feels like going back to the 1980s and it means that, after enjoying the mains, my last impression of Tibits on each visit has been disappointment."
Amazing vegetarian spread!,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r284185622-Tibits-London_England.html,Date of visit: December 2014,"I really love this place . I'm not vegetarian yet every time I visit there are so many amazing and different  vegetarian dishes on offer! I love the set up "" weigh and pay"" . I think this place is a real gem and is...More",Amazing vegetarian spread!,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r284185622-Tibits-London_England.html,"I really love this place . I'm not vegetarian yet every time I visit there are so many amazing and different vegetarian dishes on offer! I love the set up "" weigh and pay"" . I think this place is a real gem and is something different from the regular steak house or fine dining meat restaurant ! Love it !!!!"
Great veggie food. Great value,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r282924620-Tibits-London_England.html,Date of visit: June 2015,"For my daughters 21st her sister found this place for us to eat. She is a vegan and myself ,her sister and her gran love our meat.
We arrived to a clean pretty court yard restaurant,with plenty of outside seating.
We were welcomed by friendly,helpful...More",Great veggie food. Great value,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r282924620-Tibits-London_England.html,"For my daughters 21st her sister found this place for us to eat. She is a vegan and myself ,her sister and her gran love our meat.We arrived to a clean pretty court yard restaurant,with plenty of outside seating.We were welcomed by friendly,helpful staff who explained the system. You help your self to a plate and fill up from the buffet boat. Each great dish is fully labelled with the ingredients. Plenty of choice for vegans. Once your plate is stacked, you get it weighed. You pay per 100 g.Drinks are ordered at the till too. The food was so tasty. Ironically the sausages were loved by all of us and the guacamole too. All 4 of us are fine.For four plates and 4 soft drinks and 2 glasses of wine it cost £72. For London we reckon good value.Liked it so much I am taking some friends there at the weekend.Defiantly recommend to all."
Bad food,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r282425057-Tibits-London_England.html,Date of visit: June 2015,"Even this is an vegetarian restaurant, it succeded to make me sick for about 2 days. I suspect their vegetarian sausages.
Croudy and I would not recommend it.",Bad food,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r282425057-Tibits-London_England.html,"Even this is an vegetarian restaurant, it succeded to make me sick for about 2 days. I suspect their vegetarian sausages.Croudy and I would not recommend it."
Great veggie find,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r281654794-Tibits-London_England.html,Date of visit: December 2014,"I loved this place, it's cosy, consistently good and interesting vegetarian food. It's a great place both for tourists and locals. Keep it up!",Great veggie find,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r281654794-Tibits-London_England.html,"I loved this place, it's cosy, consistently good and interesting vegetarian food. It's a great place both for tourists and locals. Keep it up!"
"Like Home Cooking, but a Great Variety and Fine Every Time!",https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r280546592-Tibits-London_England.html,Date of visit: June 2015,I have been here three times in the past 30 days and I just can't get enough of it. There is such a great variety of gorgeous veggie dishes that I end up over-filling my plate every time I go. Fortunately they allow me to...More,"Like Home Cooking, but a Great Variety and Fine Every Time!",https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r280546592-Tibits-London_England.html,"I have been here three times in the past 30 days and I just can't get enough of it. There is such a great variety of gorgeous veggie dishes that I end up over-filling my plate every time I go. Fortunately they allow me to take home my over-spill! It has to be said that the selection of drinks is also quite expansive. From teas to the usual coffees, good-quality wine, fresh juices and a lovely selection of cocktails. It's probably worth going just for an afternoon relax and sip. I had a fresh mint tea to start and then moved on to a lychee martini! Yes, it was strong, but so are all martinis or it wouldn't be a martini! Honestly, it was tasty, but I could only handle one on this visit. I'll have another the next time I go, which will be soon!The atmosphere is gentle and spacious. The staff are all super-friendly, not overly so; just helpful and present when you need them.There aren't that many good vegetarian restaurants around but I will count this as one of my favourite. The fact that they have vegan cream as well as double cream for the desserts shows a lot. What a lovely oasis in the middle of London madness!"
Fresh and tasty,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r280469292-Tibits-London_England.html,Date of visit: June 2015,A good location off Regent Street.  Lots of choice of vegetarian food hot and cold.  Some of the hot food was only warm although I suppose having to wait a little to have the plate weighed didn't help.  Mango lassi was superb. The large choice...More,Fresh and tasty,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r280469292-Tibits-London_England.html,A good location off Regent Street. Lots of choice of vegetarian food hot and cold. Some of the hot food was only warm although I suppose having to wait a little to have the plate weighed didn't help. Mango lassi was superb. The large choice of fresh food in a nice setting makes this a great place. Not the cheapest considering there's no meat and not really any service (it's all help yourself - drinks are from the bar) but really not bad for central London.
Fantastic find.  Real vegetarian food in funky central restaurant,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r279982458-Tibits-London_England.html,Date of visit: June 2015,"Lots of wonderful dishes, hot,and cold.  Plates filled by you, weighed on plate and priced accordingly.  Fantastic salads, vegan, fresh veg, water chilled on tap, lovely staff.  Wish we had one of these near ho me.  Would be there at least once a week.  Wonderful...More",Fantastic find. Real vegetarian food in funky central restaurant,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r279982458-Tibits-London_England.html,"Lots of wonderful dishes, hot,and cold. Plates filled by you, weighed on plate and priced accordingly. Fantastic salads, vegan, fresh veg, water chilled on tap, lovely staff. Wish we had one of these near ho me. Would be there at least once a week. Wonderful quality."
,,,,,,
Lovely fresh food,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r278766164-Tibits-London_England.html,Date of visit: June 2015,"Relaxed environment, fresh food. Quite expensive and charged by the weight, which i realised too late!",Lovely fresh food,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r278766164-Tibits-London_England.html,"Relaxed environment, fresh food. Quite expensive and charged by the weight, which i realised too late!"
Great buffet style veggie place,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r278717334-Tibits-London_England.html,Date of visit: April 2015,Very impressed with the variety of dishes in the buffet section. It was all delicious and given I am not a vegetarian I would happily return here! Simple decor and light atmosphere also make this a very pleasant lunch experience. Food is paid for by...More,Great buffet style veggie place,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r278717334-Tibits-London_England.html,Very impressed with the variety of dishes in the buffet section. It was all delicious and given I am not a vegetarian I would happily return here! Simple decor and light atmosphere also make this a very pleasant lunch experience. Food is paid for by weight meaning my dish came to about £12 which I didn't think was too bad but still not cheap for a lunch.
Heaven on Heddon!,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r278540307-Tibits-London_England.html,Date of visit: May 2015,"I am here every Tuesday for the full Vegan spread of some of the most incredible variety of all healthy options... yes, even the dessert!  I cannot help but completely fill my plate every time... just can't help myself!  I've not yet had any dish...More",Heaven on Heddon!,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r278540307-Tibits-London_England.html,"I am here every Tuesday for the full Vegan spread of some of the most incredible variety of all healthy options... yes, even the dessert! I cannot help but completely fill my plate every time... just can't help myself! I've not yet had any dish that I wasn't pleased with. I love sitting outside for a cafe style meal in the lovely atmosphere of Heddon Street. Even with a full plate, the price is still reasonable (yes, this is one of those places that price by the weight of your plate). Also up on the menu board are a wide array of teas, coffees, juices, etc. This is a must go-to for all who love food but don't want to go for the all too common unhealthy restaurants. Oh, and by the way, the sticky toffee pudding is to die for!"
added to my list of top restaurants!,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r278282700-Tibits-London_England.html,Date of visit: May 2015,"My friend and I both traveling from Canada wanted to meet up in london, so her sister recommended this restaurant for us to meet at. The thing that always win me is the amazing decoration and arrangement of any restaurant i go to,and this absolutely...More",added to my list of top restaurants!,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r278282700-Tibits-London_England.html,"My friend and I both traveling from Canada wanted to meet up in london, so her sister recommended this restaurant for us to meet at. The thing that always win me is the amazing decoration and arrangement of any restaurant i go to,and this absolutely shocked me as AMAZING! it's very relaxing and a great place for meet ups. we started with the cold dishes and it was amazing! then moved to the hot dishes which i personally did not enjoy as much as the cold dishes. very unique dishes, very tasty, very light! we kept eating and eating it we still left feeling light and great. loved the decoration, loved the food, loved the staff! A MUST!!"
"Fantastic buffet, open late evenings which is great for sightseeing!",https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r277209690-Tibits-London_England.html,Date of visit: May 2015,"Once you're done with all your sightseeing and shopping head to Heddon Street, London's best-kept secret alley just off Regent's Street.

Tibits won't deceive you. There is a self-service buffet full of yummy options and you pay by weight - no waste, no fixed-price options,...More","Fantastic buffet, open late evenings which is great for sightseeing!",https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r277209690-Tibits-London_England.html,"Once you're done with all your sightseeing and shopping head to Heddon Street, London's best-kept secret alley just off Regent's Street.Tibits won't deceive you. There is a self-service buffet full of yummy options and you pay by weight - no waste, no fixed-price options, everyone eats just what and as much as they want. The ambiance is very pleasant with dim lights and the sort of place to enjoy with friends or family for a good chat and eat.We will be back!"
A very nice place to have your meal,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r275061987-Tibits-London_England.html,Date of visit: May 2015,"We searched for vegetarian food in London.it is like a wonderful oasis.The food was good.Very good salads.Some very nice adaptions from Indian food.The place is good ,nicely arranged.Being buffet and self service you enjoy a lot of disehes.Slightly pricy but 
If ever in London and...More",A very nice place to have your meal,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r275061987-Tibits-London_England.html,"We searched for vegetarian food in London.it is like a wonderful oasis.The food was good.Very good salads.Some very nice adaptions from Indian food.The place is good ,nicely arranged.Being buffet and self service you enjoy a lot of disehes.Slightly pricy but If ever in London and near by would like to have a meal there."
Good quality but pricey,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r274747823-Tibits-London_England.html,Date of visit: July 2014,A lot of choices of vegetables and side dishes. Could have been more variety of raw veg instead of just the usual. I would go back again and I sure hope the variety has increased if they're keeping to that price range. Could have more...More,Good quality but pricey,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r274747823-Tibits-London_England.html,"A lot of choices of vegetables and side dishes. Could have been more variety of raw veg instead of just the usual. I would go back again and I sure hope the variety has increased if they're keeping to that price range. Could have more plant-based food such as lasagne-like dish, zucchini pasta for example."
Second Visit,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r274532922-Tibits-London_England.html,Date of visit: May 2015,"After an extremely disappointing first visit late last year, we were encouraged to visit again with a promise of higher standards ... this time we were not disappointed ... really, really enjoyed this second experience .... helpful staff and the most delicious food ... highly...More",Second Visit,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r274532922-Tibits-London_England.html,"After an extremely disappointing first visit late last year, we were encouraged to visit again with a promise of higher standards ... this time we were not disappointed ... really, really enjoyed this second experience .... helpful staff and the most delicious food ... highly recommended ... can't wait to return later in the year ... thank you Tibits London ... Maggy x x x"
Nice food & good value,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r274412152-Tibits-London_England.html,Date of visit: May 2015,"The food is not outstanding but very good - Maybe they could offer more choices of breads and hot food (more indian veg dishes for examples).We had 2 plates of cold food + 2 plates of hot hood , 3 glasses of prosseco + 2...More",Nice food & good value,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r274412152-Tibits-London_England.html,"The food is not outstanding but very good - Maybe they could offer more choices of breads and hot food (more indian veg dishes for examples).We had 2 plates of cold food + 2 plates of hot hood , 3 glasses of prosseco + 2 pints for less than £50 so excellent value. I will go back there for sure."
Not quite what I expected,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r274266304-Tibits-London_England.html,Date of visit: May 2015,"I'd read a number of things about Tibits and knew it was a buffet/pay by weight affair, so expected it to have a hippyish canteen feel. How wrong I was - it was a lot more stylish and very nice inside. There was an interesting...More",Not quite what I expected,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r274266304-Tibits-London_England.html,"I'd read a number of things about Tibits and knew it was a buffet/pay by weight affair, so expected it to have a hippyish canteen feel. How wrong I was - it was a lot more stylish and very nice inside. There was an interesting selection of foods, some vegetarian 'standards' and some a bit more unusual. Everything I selected was very good. It did seem a bit expensive, but given the location I could forgive that. The iced tea was lovely and seemed quite reasonably priced."
,,,,,,
Veggies heaven,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r272588687-Tibits-London_England.html,Date of visit: May 2015,Really excellent vegetarian choices - sort of a buffet where you collect what you want and pay by weight. I know it well from Switzerland and love to go there. Lots of seating upstairs and downstairs as well as outdoor seating in the lovely square...More,Veggies heaven,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r272588687-Tibits-London_England.html,Really excellent vegetarian choices - sort of a buffet where you collect what you want and pay by weight. I know it well from Switzerland and love to go there. Lots of seating upstairs and downstairs as well as outdoor seating in the lovely square (with heating). Good choice of wine and bubbly.
Pathetic,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r271659936-Tibits-London_England.html,Date of visit: May 2015,"At dinnertime the waiter allocated us a table next to the window; we put our bags on the sofa (on the window side) and a coat over the chair. When walking back to the table after got our food, I noticed that someone was hanging...More",Pathetic,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r271659936-Tibits-London_England.html,"At dinnertime the waiter allocated us a table next to the window; we put our bags on the sofa (on the window side) and a coat over the chair. When walking back to the table after got our food, I noticed that someone was hanging our coat on the chair of a different table, our bags were already pushed aside and our seat on the sofa was occupied. When we asked the waiter for clarification he simply asked us to sit somewhere else. After calling for the manager he repeated the same; it's not a problem, just sit somewhere else! How on earth can someone run a restaurant like that ???Needless to say we handed over our plates and left. There was no apology, nothing."
Vegetarian delight,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r271342460-Tibits-London_England.html,Date of visit: April 2015,"Well placed for shopping in West End especially Regent Street. Multiple vegetarian dishes at large buffet with good selection, some excellent and some mediocre. Pay by weight of food therefore don't take more than you will eat! Fair wine selection of moderate prices. Gents toilet...More",Vegetarian delight,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r271342460-Tibits-London_England.html,"Well placed for shopping in West End especially Regent Street. Multiple vegetarian dishes at large buffet with good selection, some excellent and some mediocre. Pay by weight of food therefore don't take more than you will eat! Fair wine selection of moderate prices. Gents toilet could indeed be improved and less smelly"
Love tibits to bits,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r271139659-Tibits-London_England.html,,"Awesome vegetarian/healthy little cafeteria, tibits is your name! I loved all the options at the buffet, everything was savory and fresh and especially the salads, they were really filling and tasty.",Love tibits to bits,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r271139659-Tibits-London_England.html,"Awesome vegetarian/healthy little cafeteria, tibits is your name! I loved all the options at the buffet, everything was savory and fresh and especially the salads, they were really filling and tasty."
Let down,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r270675902-Tibits-London_England.html,Date of visit: May 2015,"This restaurant was the one I used to look forward to going visiting when in London
This time was a big let down the selection of food was minimal compared to recent visits the cost was extortionate before the amount I had the staff were...More",Let down,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r270675902-Tibits-London_England.html,This restaurant was the one I used to look forward to going visiting when in LondonThis time was a big let down the selection of food was minimal compared to recent visits the cost was extortionate before the amount I had the staff were hovering all the time I we were eating they wanted us in and outThe toilets were not fit for use all urinals were blocked and overflowing feaces was on the floor I decided not to use them in fear of catching something I was very disappointed and will not be returning When I approached the staff they were not interested
Excellent value for money for really tasty food!,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r270444132-Tibits-London_England.html,Date of visit: May 2015,"We were taken by friends and have to say we were impressed! Fresh tasty dishes laid out in buffet style. You pay by weight for what you choose, which is an excellent method of ensuring minimum wastage. The staff were also very helpful. We didn't...More",Excellent value for money for really tasty food!,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r270444132-Tibits-London_England.html,"We were taken by friends and have to say we were impressed! Fresh tasty dishes laid out in buffet style. You pay by weight for what you choose, which is an excellent method of ensuring minimum wastage. The staff were also very helpful. We didn't need help but we saw staff getting involved with other diners who had queries, which is very encouraging. Definitely worth a visit whether or not you are a vegetarian!"
Money laudrying in the food business,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r270021128-Tibits-London_England.html,Date of visit: May 2015,"What a total ripe off from the moment you walk through the door. Potato wedges, cold fried onion rings please you call that veggie and heathy. At over £22.00 a plate and by the way your paying for the weight of the plate it served...More",Money laudrying in the food business,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r270021128-Tibits-London_England.html,"What a total ripe off from the moment you walk through the door. Potato wedges, cold fried onion rings please you call that veggie and heathy. At over £22.00 a plate and by the way your paying for the weight of the plate it served on top of the food. The staff are rude and unintrested. £33.00 for a bottle of wine that had clearly been opened and the cork put back in ??? Never again."
"Excellent for a quick, healthy meal!",https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r269785188-Tibits-London_England.html,Date of visit: April 2015,"I've been to Tibits twice in the last couple of months, I think it's excellent. The food is great, healthy, and reasonably priced! Highly recommend it for anyone looking for good, reasonably price food in the west end!","Excellent for a quick, healthy meal!",https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r269785188-Tibits-London_England.html,"I've been to Tibits twice in the last couple of months, I think it's excellent. The food is great, healthy, and reasonably priced! Highly recommend it for anyone looking for good, reasonably price food in the west end!"
OK,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r269730615-Tibits-London_England.html,,Nice atmosphere and good choice of vegetarian food. Wish i hadn't picked any 'carby' foods as my plate came to £19 for essentially vegetables - feel a little ripped off and so did my mum and sister. Good experience but regret not going to the...More,OK,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r269730615-Tibits-London_England.html,Nice atmosphere and good choice of vegetarian food. Wish i hadn't picked any 'carby' foods as my plate came to £19 for essentially vegetables - feel a little ripped off and so did my mum and sister. Good experience but regret not going to the Moroccan across the street. Good place for vegans/vegetarians but pricey.
Good but I missed my meat !,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r269082968-Tibits-London_England.html,Date of visit: March 2015,"Great service, good wine and great value quirky way of paying, they weigh your plate (so pile on the lettuce) you pay what it weighs - unfortunately I'm not a veggie so did miss having any meat - However it was good, fresh and very...More",Good but I missed my meat !,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r269082968-Tibits-London_England.html,"Great service, good wine and great value quirky way of paying, they weigh your plate (so pile on the lettuce) you pay what it weighs - unfortunately I'm not a veggie so did miss having any meat - However it was good, fresh and very very busy - Again worth a visit"
,,,,,,
A must for vegans in London,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r268997046-Tibits-London_England.html,Date of visit: April 2015,"We've been to Tibits a few times and loved the food and service. Went back yesterday and the offerings were much improved - more pasta, noodles, rice and hot dishes including a big bowl of excellent chilli sauce which definitely made my day.  I would...More",A must for vegans in London,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r268997046-Tibits-London_England.html,"We've been to Tibits a few times and loved the food and service. Went back yesterday and the offerings were much improved - more pasta, noodles, rice and hot dishes including a big bowl of excellent chilli sauce which definitely made my day. I would only say that they need to make more effort to veganize their desserts - for example, why not offer vegan cream to go with the pudding? And why add dairy yogurt when plant based yogurt is a perfect substitute? I was about to help myself to a tahini dip when I realised it had yogurt in it ....why? and if you must, then please try plant based yogurt, it works just the same as dairy yogurt. All in all, it is the best self service restaurant for vegans with a huge variety of foods to choose from and the Rose is worth every penny."
Amazing veggie and vegan food,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r268467134-Tibits-London_England.html,Date of visit: April 2015,"Tibits is a 'help yourself' veggie and vegan buffet where you select food and then weigh your plate to determine the price. There is a huge range of dishes to choose from; hot and cold salads, lasagne, spelt quiche, falafel, rice, quinoa, tofu, wedges, onion...More",Amazing veggie and vegan food,https://www.tripadvisor.com/ShowUserReviews-g186338-d1016181-r268467134-Tibits-London_England.html,"Tibits is a 'help yourself' veggie and vegan buffet where you select food and then weigh your plate to determine the price. There is a huge range of dishes to choose from; hot and cold salads, lasagne, spelt quiche, falafel, rice, quinoa, tofu, wedges, onion rings...I could go on and on...it was delicious! You can also order alcohol, artisan sandwiches, toasties and cakes from the bar along with freshly made juices and smoothies. Don't forget the yummy puddings...if you have room...also all veggie (some vegan). The restaurant itself has a very relaxed vibe, doesn't matter if you just pop in for a coffee or sit down with friends for dinner, the style is very much 'at home' and comfortable. The food can seem a little pricey for a buffet (around £12-15 for an ample plate of food) but it is all delicious and fresh and the staff are very efficient at replenishing the buffet so you're not waiting there for your favourite dish to come out! Just had a big family do there and we loved it (average £30 per head, inc. alcohol)."
