Title,rev_wrap,Field2
Awesome - as always,Date of visit: July 2019,"We always visit when in London, and this was yet another triumph. Nice and relaxed atmosphere, friendly staff, but the star of the show is the quality of the food; flavourful, healthy (relatively, at least!) and beautifully presented. I was interested to see how it was now Mildred's has branched out to other locations - conclusion is the same high quality as ever! Go!(Lunchtime visit, July 2019)."
Great Vegan food in Soho,>  >,"This unassuming baby blue fronted vegan cafe in Soho has a tiny front but inside is a rabbits warren of staircases and sharing dining rooms. The service is fast and polite and the kitchen churns our specials and menu items in under ten minutes. We had the Polish Burger (amazing beetroot and dill flavour), Teriyaki Burger (you won’t believe it’s not chicken) and the Arancini rice, lentil and chili balls washed down with Carrot and Ginger juice and Black Isle Lager. Super impressed with this quality little eatery. Go."
"Great food, busy location",Date of visit: July 2019,"Great buzzy little restaurant in heart of Soho.This is vegetarian food at its best! Fresh flavours, with a Moroccan vibe. The moc Lebanese ‘chicken’ was great, seasoned well, good combination of spiced sauces & a baba ganoush type side. All mopped up with a fresh pita bread-delicious. Service was swift and friendly. Advise to get here early as restaurant has a no booking policy for smaller tables."
,,
best vegetarian restaurant,Date of visit: June 2019,"when ever I am in London I always go to Mildredsheads up at dinner time their is a line out the door.so book ahead or go earlythe food is amazing very creative, and 1st class Vegetarian."
Amazing Vegetarian Meal in Soho,Date of visit: June 2019,"End of June in London, the place was packed. Even so we were seated within 30 minutes. The food was amazing, it's difficult to explain to non Mediterranean's how bad Hummus is in Europe, but Mildreds was great, chunky and fresh very good. The mains were a curry and a non meat burger both exquisite. Even the niece that eats only fries had nothing but praise for the spicy potatoes. As a side note, we ate on the 2nd floor the pictures on the walls were vintage X rated material. I do understand the chic appeal but for some people might not feel the same."
yummy,Date of visit: June 2019,"Arrived around 19:30, were told there was a 40-45 minute wait but we were welcome to drink cocktails in their bar / street patio area while we waited, which was delightful for people watching. Estimation time was on the dot. We went in to get a second round of drinks and they let us know our table was ready. We ordered a cauliflower starter, as well as the sri lankan curry and the soul bowl as mains, all of which were delicious. We were incredibly impressed by the careful and considerate allergen notes on the menu. It's rare to find somewhere that helpfully anticipates that despite being a vegan, you still may be allergic to things. We topped everything off with a reasonably priced bottle of rose. After finishing our dinner, we were left to just sit and chill without feeling pressured to leave. They were very understanding when we tried to pay with a note that was out of circulation by accident. Overall, a delightful dining experience that we would highly recommend (if you're willing to fork out a few extra pounds)."
Great food and atmosphere,Date of visit: June 2019,"Really loved the food here, servers are very attentive and constantly bringing water to the table. I had the chick’n burger which was really delicious as were the sweet potato fries. Quite expensive, but worth it. Atmosphere is great although quite noisy!"
Outstanding!,Date of visit: June 2019,"My friend and I ate here on Sunday eve - we hadn't booked but managed to get a table easily despite it being busy. I'd done a search for veggie restaurants - my friend is veggie and although I like veggie food, I am very much an omnivore! The food was fantastic! I had a ""chicken"" burger and my friend had the mushroom pie - both delicious. I would recommend this place and certainly seek it out again next time I'm in London. My only criticism is the lack of beer choices. But the food is so good, it wouldn't stop me coming here :-)"
So yummy!,>  >,"Our lunch at Mildreds was totally fabulous! Everything we ordered was so tasty and fresh. We had dumplings, Sri Lankan curry and jerk tofu, all to die for! The venue was very loud, which was the only negative thing I could think of, but the spectacular food was totally worth that noise."
Best Vegan Restaurant in the UK,Date of visit: June 2019,Wow; What an incredible experience. We ate here for our Silver Wedding Anniversary with three of our daughters and we were blown away. Food was sensational; a very varied menu ; everybody had different dishes James the Manager showed us to our table and set the tone in just the right way. Dominica was a very attentive friendly waitress. Anna the overall General Manager came to say hi. Portions were considerable; drinks were flowing; Its just one of those nights that will stay with us ever. Congrats Mildreds on an exceptionally well run restaurant.
Small Portions,Date of visit: June 2019,"I like to eat. I have a good appetite. I am a man, I weigh 99 kg, I work out a lot. I went here for lunch, had a starter, main course and dessert and left hungry. The quality is good and the service is good. I can't fault it except to say that if you are a reasonably sized health male you should probably eat before you go here. I ate afterwards."
Amazing Staff & Food,Date of visit: June 2019,"Myself and a friend decided to come here because she had dietary restrictions and this place was the best place that we could ensure that she wouldn’t have any trouble with that.The food is amazing, we had the chick’n burger which was gorgeous and super yummy, as well as sharing sweet potato fires - who can go wrong with sweet potato fries though?Then we had desert - this menu is separate from the main menu and it isn’t on display outside, at least not that I could see, but there is one and it is so good!The staff were delightful, cheerful and calm even though it was really busy, and the food arrived so quickly that I had honestly expected to wait a little bit longer to get fed.The staff are more than happy to have banter with you, they will help you if you have any dietary issues - although it has to be stated that they can’t guarantee that everything will be completely free from whatever issue you may have. It’s definitely one to check out - although we believe that the menu’s vary from each Mildred’s, so you might not find the same menu if you went to one in Camden for example - either that or the website that we looked at hasn’t been updated."
"Great food, cool atmosphere",Date of visit: June 2019,"Looked for a vegetarian restaurant in London, and was lucky to find Mildred’s. Great food, cool atmosphere, and very convenient located. Also to those who wa nuts to try veg for the first time, this is the place to go."
,,
Terrific food,Date of visit: June 2019,Mildreds is a must for Vegetarians. no reservations so plan on a wait on site. Well worth it. Food is excellent and value is very good.Its noisy and crowded but fun
Excellent food,>,"100% vegetarian restaurant, excellent food portions, taste and the service was impeccable! All the staff are extremely helpful, continually providing water to your table. The server is pretty snappy too. Note that many of the dishes are quite spicy! But still very enjoyable.Quite an expensive eat too, however its just a reflection of the quality. Downside was that it was extremely noisy inside and hard to hear the people @ your table! Expected in such a busy restaurant! ALSO NO BOOKINGS ALLOWED so be prepared to wait. (We waited about 30 mins) Well worth it!"
Restaurant has got lazy,Date of visit: June 2019,"I agree with other recent reviews I have read that this restaurant is now relying solely on reputation rather than putting effort into creative and well-cooked meals and good customer service. I have been here many times over the years, being vegetarian and living in London. The menu constantly changes which is a benefit of the restaurant. However it does mean it is sometimes hit-and-miss as to whether you'll get a nice meal. On my most recent trip, I had the Jerk 'Chicken' Tofu, which was very badly cooked - really dry and tasteless. My boyfriend had a selection of starters which were all good. When I mentioned to the staff that the tofu was dry, the only response was - 'It's tofu, tofu is dry'. Absolute rubbish - chicken is also dry unless you cook it right. The staff weren't trained to deal with feedback and instead we were just brought the bill with the service charge added. The staff are young and inexperienced and the restaurant just seems to not be making much of an effort anymore, presumably relying on tourist and 'one-off' visitors rather than repeat custom like myself."
Very innovative,Date of visit: June 2019,The place was a small and cozy restaurant with a great ambience. It is a vegan and vegetarian friendly place. We ordered a Mexican burger which had amazing mix of flavours and mushroom pie was good too. The food overall was great. We would like to visit again to try more food!!
Fabulous,Date of visit: June 2019,"We popped in on a busy Friday lunch time, we only waited 10 minutes for a table. Angelica our server, was friendly and offered great service. The food was fabulous, I’m the non veggie in the group. We opted for burgers and sweet potato fries and a carafe of rose wine. The food was tasty and reasonably priceWell worth a visit"
So good!,>,"Luckily managed to find a seat there for lunch on a Saturday. It was my first time there and I really enjoyed the food. The portions are big and I felt the price was worth it. Loved the corn bread, and the Sri Lankan curry was mouthwatering! Really recommend it, can’t wait to return and try other dishes."
Vegetarian / Vegan delight but be prepared to waif,Date of visit: June 2019,"I've eaten there three times now. Each time, one lunch and two evening meals, it's been packed. The food is excellent - although the first visit was probably the best, mybe a novelty factor at play. I have enjoyed - amongst other dishes - the mushroom and ale pie, the hoummous and on one occasion a bottle of the house white. It's not cheap but it's one f the best vegetarian eateries in London town. You can't book and if you arrive to find a queue, you could be lucky and find a seat at the bar for a pre-meal beer or a glass of wine. You'll enjoy the evening."
Crowed and Delicious,Date of visit: March 2019,"This was my second time finding a Mildreds in London. I couldn't find the door! It wasn't too busy when I got there, but filled up pretty quick - and it's quite a crowded space. I was there early for dinner. By the time I left there was a whole gang up front waiting to be seated. I really like that the menu is mostly vegan, but items are clearly labeled when they are not. I have a dairy allergy so vegan dishes are a relief. I meant to just have an appy, but then there was focaccia bread and olive oil available so I had to have that, too. Then I had time for dessert, as well, and I left way too full."
Great vegeterian place in Soho,Date of visit: June 2019,The quality and freshness of products justify the prices. Very savoury food and a great cocktail menu. It can get busy and loud but the food definitely worths it. The peanut brownie dessert is a killer!!
Amazing Service & Food,Date of visit: June 2019,"Almost all vegan menu! A few different types of cuisines on offer. I went for the mushroom and Ale pie which cake with mushy peas and mint sauce serviced with chips. Flavours were spot on! Would have been perfect if used hand cut chunky chips but it was super yummy! My partner had tandoori chickn’ (He isn’t vegan) but was amazing at how much the mock chicken tastes like chicken it was sooooo good and the flavours were beautiful especially the dhal! The service was great! The host was soo welcoming and personable which I love when I dine out. Very busy!! Cosey setting, lots of seating! Overall really good experience I will 100% be returning!"
,,
Amazing food,Date of visit: May 2019,"I loved the place, excellent food, a must try for vegans and non-vegans, if your a vegan you’ll enjoy the clean fresh food, and if you’re not a vegan you’ll think you’re eating a real buffalo chicken burger"
Top quality,Date of visit: June 2019,My curry was fantastic. Mrs. Reviewer loved her black bean burger. And that chocolate dessert featured in one the tripadvisor pictures tastes even better than it looks.
Just fab,Date of visit: April 2019,The food is absolutely lovely. Our starter was just so good. We have the artichoke with toast and aioli. So simple but the flavours were fantastic. Will definitely be visiting again.
healthy lunch,Date of visit: June 2019,"have been to this old time vegetarian restaurant several times, I like their salad bar for lunch which is very convinient for a healthy lunch."
Need to Change their Waiting System,Date of visit: June 2019,"The bar at Mildreds is too small for their policy to be operated. I am in a wheelchair and was expected to wait an hour and 15 minutes on the street (there were no seats left inside or out). Our treatment indicates that the establishment cares more about making customs at the bar than customer service or catering to those with special needs. We had seen people being given buzzers on other reviews, and so we thought that it would be ok to go round the corner to sit in Yorica while for a fraction of our wait time. Our ""host"" at first said that we could come back in 20 minutes or so but if our seat was given away in that time we would have to start in the queue all over again. We were prepared to this but he then said he couldn't give us a place in the queue at all if we didn't wait on the 'premises'.Eventually with help from the woman at the bar he gave us a place card and allowed us to go away for 20 minutes of our 1.25 waiting time, and come back with risk of our seating being given away. However the lady at the bar who was kind, misunderstood this and took back my card which I thought was odd and protested a bit in confusion.After going out to find Yorica, we decided we would not risk it and came back. After 15 minutes I asked the host if we were still in the queue because of the way he looked at me. He said exasperatedly, 'no, you're not!' After argument between us and the lady at the bar we gathered the misunderstanding but we were given a much bigger number in the queue all over again with no indication of how long we would be waiting. At this point we no longer trusted the ""host"" to give us a fair waiting time or not be spiteful. So we left, myself on the brink of tears because it was my 30th birthday dinner abroad with my girls. I was looking forward to trying Mildreds so had not booked anywhere else on a Saturday night. Luckily we found a great restaurant round the corner, Tamarind House, which had no wait time and where customer service was exceptional and still mattered.Just because Mildreds has a good online reputation does not mean it can be snooty and take customer service for granted.It does not mean it can have such thoughtless treatment towards those with special needs."
Delicious but small portions size,>  >  >,It's a cute lovely restaurant. The service was attentive and polite. The menu is almost completely vegan. I had a starter (hummus) and the soul bowl. It was delicious but in comparison with the price pretty small. For my liking it could have been a little bit bigger.
Amazing!,Date of visit: May 2019,One of the best meals I have ever had. Stunning cornbread for starters and the jerk tofu main was out of this world.
Not sure,Date of visit: May 2019,"Went with my daughter & wife who are vegetarian. I am not but do enjoy vegetarian food.We got a table but was struck by how crammed the restaurant was & poor acoustics so noisy.Folk on table for 4 next door seemed to be two couples who were not ""related"" the other table beside us had 3 cramme don a table for 2. As we left bar area was heaving & agin noisey.I had mushroom pie & fries & mushy peas. Nothing to rave about, I had similar from M & S at xmas which was better , I did note another being taken to a table with a singed crust. Wife & daughter had halloumi burgers which they said were tasty.Puddings were excellent.Staff not that engaging. Would I go again - probably not.Frank impressions, bearing in mind eating out as a vegetarian in UK seems to be a lottery in many places in terms of choice & quality from my observation. A fully vegetarian restaurant in this area seems rare.1) Too many tables & going for through put rather than an enjoyable experience for diners.2) I sense living on reputation so as a result innovation & quality suffering .3) Staff need to engage more but to be frank giving the crowded nature of the area I would not be too cheerful if I worked there."
Best vegan restaurant in London,Date of visit: January 2019,"Restaurant in soho is small so there was a but if a wait, but it was well worth it. Had the best vegan burger of my life here and best vegan and waffles at their location near King’s Cross. Really nice atmosphere, the food was so fresh and the menu has a lot of unique vegan options and desserts!"
"Outstanding vegetarian food, creative and delicious",Date of visit: May 2019,"The food is really excellent - creative without being pretentious. The ravioli is amazing and the veggie burger was one of the best I've had. Service is friendly and fast and it was just a really great meal in an unfussy environment that made me want to return. Food is not oily or heavy - so the sweet potato fries were perfect and not oily and the food was fresh and exceptionally flavorful. One of my best meals in London and highly recommended to all - vegetarians, vegans, and anyone who enjoys delicious food at a reasonable price."
,,
One of the best vegan restaurants in London,Date of visit: April 2019,"I have visited Mildred's in the Soho again this April and was delighted to see that it is still one of the best vegan restaurants in London. You can't go wrong with the menu and almost everything is delicious. I myself particularly like the bourbon buffalo chicken burger and the Tandoori chick’n dish, which are great (mock chicken of course). If you haven't been yet, I strongly recommend to give it a try."
Tasty,Date of visit: May 2019,"Love coming here, food is so good. Wish you could book a table as not keen on having to turn up and hope you get a table. Loved the chicken curry and the Thai green curry and the aubergine starter. In fact everything we’ve tried so far has been great."
So delicious!,Date of visit: May 2019,"Fantastic atmosphere and delicious food - I will definitely be back for more, even though it seems like the restaurant is understaffed so part of our order went missing (other customers next to us had the same experience). If there are no free tables, wait for one - the food is definitely worth the wait!"
Vegan curry,Date of visit: March 2019,My favourite vegan dish for years. Mildred has the best curry in London. Noone bit them yet. Basil mayo is amazing as always.
Disappointing,Date of visit: April 2019,"Was looking forward to a meal at Mildreds as a vegetarian but left feeling extremely underwhelmed. Had the halloumi burger which was lacklustre - two dry bits of pita with halloumi and a tiny slice of aubergine with some basic chips! Can easily receive food of a higher quality and more attentive service elsewhere. I feel that due to its popularity, Mildreds no longer feel the need to make an effort for their customers which is a shame. Definitely not worth the prices charged and quite a cramped atmosphere inside."
Yummy!,Date of visit: April 2019,"Very good organic vegan food! Even though the place is a bit loud, it is worth it because the food is really good! Delicious mock chicken and soul bowl! Definitely coming back!"
Worth the wait!!,Date of visit: April 2019,"Rightly a hugely popular venue, especially in the evenings. Not possible to book a table in advance so you will have to (i) arrive (ii) wait. The waiting time will depend on the size of your party, and you will NOT be seated until ALL your party have arrived. Couples - no problem it seems - accommodated refectory style. We were six and waited 90 minutes to be seated. No problem with that - we know it's worth the wait. Food great, service great, decent wine list. Just one complaint. We waited in the very cramped-cosy-sociable (depending on your point of view) bar area where the music was so loud that conversation was almost impossible. I am hearing impaired yet found it unbearably loud. There exists a perfect volume for music in this and every other sociable place but very few places get it right - low enough for conversation - loud enough to dance to. Get that right and Mildreds will be perfect."
Horrible tasteless microwaved for 30 seconds disgusting food,Date of visit: April 2019,"Why is this place so popular? It's so far up its own arse and has no reason to be. Firstly three of us were crammed onto a table for two, clearly to get in as many in and out. The menu was boring and lacked imagination, it arrived very quick after being ordered which always arouses my suspicions. Clearly all the food is sitting in rows and rows and merely heated up for a few seconds before serving. I've never known food to arrive so quickly after it had been ordered, it wasn't too dissimilar to ordering from McDonalds. It's a sad that this is one of the very few vegetarian restaurants in soho, if it had competition it might try a little harder rather than be arrogant and so crap."
Pleasant experience.,>  >,"I'm a meat eater and went here with my vegetarian friend. It is an extremely popular venue so I think coming at an odd time would be better as you can get a table. It's not a problem though, as the drinks at the bar are great. For starters we shared the hallumi and hot cherry tomatoes, both were delicious. For mains my friend had the sweet potato Mexican burger and I had the mock tandoori chicken. Everything on my dish was fantastic except the chicken which was had no flavour. The daal however was scrummy. My friends burger was delicious. We had coffee to finish which were great. Service started off great but then got a bit sloppy. I would definitely go here again. Especially with a vegetarian friend."
I'm a meat-eater and it's my fave,Date of visit: January 2019,"This is hands down my favourite restaurant in London and I'm not even a veggie!! The food is so ""meaty""!"
,,
Recommend anyone vegan or vegetarian to visit here,>  >  >  >,"On our trip to London we visited here twice, once for an evening meal and again for lunch. Both visits were excellent and I would recommend anyone vegan or vegetarian to visit here. Although you can’t reserve a table here at their Soho restaurant there is a bar that you can get a drink at and wait for a table, it does seem to be quite busy and getting a seat to wait around the bar may be a problem for evening meals later on it the week. On our first visit, we visited on a Monday night and waiting was no more than 10 minutes. We got seated upstairs which was a nice small room with two windows and an old fireplace with a stove now placed in it. I noticed that there was a table which had two parties of three people at it, so I assume when it’s busy you could get sitting at shared tables, although there was plenty of room for privacy. For a starter I got the dumpling with some cornbread and chilli lime butter for the table both of which are vegan. For the main I got the Caribbean jerk tofu which comes with an amazing rum and guava glaze on the tofu. I was disappointed they didn’t carry an alcohol free beer on their menu and reverted to a glass of organic Spanish Syrah red, which I was told by the waiter that all their wines are vegan. To finish off I went for the Manhattan truffles which were lovely with a real rich chocolate taste, they do carry the warning that they contain alcohol. Along with this I had the mint tea, which when it came out I wasn’t expecting it to contain real fresh mint leaves, which after a few minutes brewing produced a fresh minty tea which went down well after the amazing food.Our second visit was two days later and was just for a late lunch; again I had the dumpling which once again turned out to be lovely bursting with taste from the mushrooms. We ordered a selection of deserts to try two of them being the chocolate hazelnut truffle pudding and the cheesecake. Both were amazing and I would highly recommend the cheesecake, the Biscoff base is amazing, knowing how the fresh teas were served I ordered the lemon and ginger tea, which like the mint tea came out with cuts of fresh ginger and lemon slices in it.Mildreds Soho definitely deserves 5 out of 5 in my opinion; they have a large choice of food, including vegetarian options. The only thing I would recommend is for them to stock some vegan alcohol free beer as many other vegan restaurants currently do, and I can’t be the only person looking for it."
Vegan and allergy friendly,>  >,"I went on a Friday lunch time on my own for a quick bit in London. Was great to find somewhere that I knew I had a selection on the menu to choose from. I am intolerant to gluten and dairy so i went for the Jamaican jerk tofu and it was so so good, everything that was served with it was delicious! It was packed but I got a seat at a sharing table and the vibe and staff were great. I also got a CBD mocktail!"
Fantastic,Date of visit: April 2019,"I tried several dishes and the food was fantastic. I looked at some other recent reviews who complained about service. The service staff are a bit sultry (sorry guys) but hey its a super busy place and everybody wants attention. Still rate top marks. If you go, just relax, go with the flow and you will enjoy.So impressed I bought their book on Amazon.I am not Vegan or Veggie but moving that way."
"Delicious food, but untrained staff",Date of visit: April 2019,"The place is small and it is very cramped inside - every time I needed to get out of my table I had to ask the neighbour tables to make some room. The staff is in desperate need of training. The food, however, was excellent."
Average food and sulky service,Date of visit: April 2019,"From arrival the service was very poor. The two people who served the table were sulky and disinterested, one almost rude. Out of three meals, one was very good (curry) one was OK (burger) and one was less than average (mushroom pie). I've been to Mildreds many times and this was the worst experience. I hope it was a one off."
"Grrat nosh, staff absurdly untrained",Date of visit: March 2019,"Went for a business lunch. Great fig manhattsns, delicious savory wild mushroom and ale pie, excellent buffalo cooked “chicken” sandwiches, a good curry, a decent rose. Sadly we also had a waiter from hell who ignores tables, chats with apparently off-duty waitstaff, then after repeatedly being asked for service comes over and says hey, so I’m going to get something to eat, my colleague will be by, then leaves, gets his lunch and sits at the bar with it, within spitting distance of the table, while we wait. Female wait staff helped us after giggling with the male waiter. The bartender didnt Make our drinks until prompted because she was also giggling and sharing Facebook or whatever things with the female waitress who eventually served us. The manager seemed busy joking around with other staff and had no sense of managing at all. They need a training program because this just ruined What could have been a great experience because the food was terrific. What happened to basic training for Wait staff? And I Mean basic."
Tasty food and very busy place at lunch time,>  >,I had the bangers and mash and it was so tasty! I am so happy to find a vegetarian version of bangers and mash! Definitely come early if you don’t want to wait. Quite small seating areas so may need to wait for a while
Worst service I’ve received in London,Date of visit: March 2019,It’s rare that I complain about a restaurant but this place is the most pretentious place I’ve been to in years. I think because it’s one of a few vegan friendly places in the area that the staff act as though customers should be grateful in their presence. They wouldn’t make eye contact even when ordering drinks at the bar. I would have left if it wasn’t for my friend excited for finding it for me because I’m vegan. The food was ok at best so I really don’t understand the attitude. As soon as there is some real competition in the area they will be brought back down to earth. I definitely would not recommend.
Pre show dinner,Date of visit: March 2019,"Fabulous,fabulous,fabulous food!So much amazing vegan choice! An absolute treat! For starters we had - Roman artichokes, pumpkin and sage pasta x2 and the sweet potato soup.Mains - mushroom pie with mash and peas x3 and The soul bowl.The place was PACKED!! We had cocktails at the small bar waiting for our table, which were average at best, bit disappointing.... the maitre d was great, totally on it, managing high numbers of customers efficiently, smoothly, calmly and with charm, made us feel so welcome....Unlike our waitress upstairs, who was a right misery and frankly verging on hostile... she could’ve upset the occasion, but she didn’t, as the atmosphere and food and our happy mood wouldn’t be spoiled. I would 100% recommend Mildred’s to vegans and non vegans alike! Next time we go however, I hope our waitress will be having a better day! Eating out is about the whole experience not just what’s on the plate."
Tasty food and friendly service,Date of visit: March 2019,"Being a veggie it is rare to have a choice on any menu. In Mildreds you do!Really tasty food and lots of it. Good coffee too. Desserts that are a sin in themselves.It is noisy here (lunchtime) but hey, everyone is having a good time and not eating meat, so lots of animals can be reassured and not terrified to be on the menu.Reading some of the previous reviews it is clear that not everyone who comes here to eat are actually vegetarian or vegan but maybe you can be converted through eating the tasty and healthy options and help the planet as well as saving the lives of vulnerable creatures."
,,
Amazing food!,Date of visit: March 2019,"I've wanted to visit for quite some time and ended up having 30 minutes spare before a business meeting. When I arrived, there was a short queue of people waiting to be seated but it moved fast. I told the waitress about my time constraint and also a recommendation as I didn't want anything too heavy to eat. She recommended the falafel which was absolutely exceptional! The service was fast and I managed to get to my meeting in time. I will definitely go again but this time I'll make sure I'm not time pressured!"
One of the highest quality meals I've ever had,>  >  >  >,Utterly outrageous. No idea how they do it. I entered a state of ascension eating the tandoori 'chicken'. Completely astounding food. Fantastic cocktails too. I can't remember the last time that I had a meal reach such overall perfection. I'm dragging some friends back to London next month purely so I can go again.
"Veggie or not, simply great food!",Date of visit: March 2019,"I am not vegetarian, but who cares when the food is so delicious and satisfying. I am not overstating, when I say i enjoyed one of the best meals I’ve had....and the price is ridiculous low. I would have paid double and still thought it was exceptional value!Can’t recommend enough, and the old fashion cocktails are good as well"
Wonderdul,Date of visit: March 2019,"Visited Mildred’s in Soho for the first time but it won’t be the last. Waited about 25 minutes to be seated, which gave me chance to enjoy a lovely pear flavoured mocktail at the bar. All the staff were helpful and friendly while I waited, especially the bubbly front of house lady organising the tables who was a joy to deal with.I had three courses- the service was quick and and the food was phenomenal. I recommend the gyoza to start, the Sri Lankan curry and the rhubarb polenta crumble. 10/10- will definitely be back."
Tasty food!!,Date of visit: March 2019,"I stumbled upon this place while looking for a vegetarian lunch. The food was very tasty. Their fresh pressed juices are excellent, and the servers are very friendly. I'll definitely be back. Not sure why someone would say the environment was uncomfortable. It is a nice space, bright, bustling."
Amazing,>,"Everything was amazing, from the starters to the desserts. 'Chicken'burger was outstanding.Looking forward to coming again!"
OK,Date of visit: March 2018,"Food was good, but certainly not as great as expected. I feel that much better vegetarian food can be found in other non-vegetarian restaurants. Atmosphere was great"
Excellent food but uncomfortable environment,Date of visit: February 2019,Went on a Wednesday evening when not particularly busy. Was our first time eating here and the food was faultless. However the service was poor. Staff seemed miserable and not particularly helpful and made us almost feel like our custom was unwanted. A shame as we feel reluctant to return after this experience.
Superb,Date of visit: February 2019,"An early pre-theatre trip to Mildreds turned out to be one of the best vegan dining experiences we have ever had.Even at 5 pm there were queues out of the door and it wasn’t surprising. The food was absolutely excellent. I had the mushroom pie, son and the falafel and wife had the smoked tofu and white bean sausages. Each dish was beautifully accompanied and cooked to perfection.Despite being incredibly busy the staff were very efficient and friendly.If you ever get the chance to visit I would thoroughly recommend it. We will certainly be returning."
Amazing!!!,>  >  >,The food here is absolutely brilliant. The food is super tasty and flavoursome and fresh. The Sri Lankan curry was top notch.If you are veg or vegan you will love it here.Its just a shame you cant book!
,,
Delicious veggie + gluten free food,Date of visit: February 2019,"As a gluten free vegetarian, finding decent food and a variety is hard. Mildreds was absolutely delicious and have eaten here three times, twice within one week. The allergen menu labels everything clearly and the waiters ask for details of your allergy. It also highlights cross contamination. I've had the halloumi with sweet chili sauce (heaven), nachos and guac, the sir lanka curry, tender stem broccoli, smoked aubergine (not my fave as a bit mushy), and the chocolate brownie with ice cream. All gorgeous and would go back again without hesitation.Beautiful cocktails, really yummy.Only ONLY downside is that it is quite small, so if you don't book you do have to wait, as it is so popular, but that's a sign of a good restaurant."
Lunch with my daughter,Date of visit: December 2018,I have been to Mildred’s quite a few times and have wanted to take my daughter for quite a while and finally we managed to get here! She wasn’t disappointed! We both really enjoyed our food - I had veggie sausages and mash which was yummy and she had the “chicken” burger which was really tasty! We had to wait a while to be seated so we enjoyed a fresh juice sat near the bar. It was very busy (it always is!) - but the staff were helpful and friendly. She is looking forward to visiting again ☺️
Very well run restaurant,Date of visit: February 2019,Arrived before midday and people already queuing. Staff were very efficient considering amount of people arriving at the same time for when the restaurant opened. Food was extremely tasty and choice is good. Service was brilliant. Would thoroughly recommend.
Amazing Vegetarian Restaurant,Date of visit: February 2019,"I’ve been wanting to try this place for years but haven’t been in a place where I could wait to be seated (often more than 1 hour wait). Now that I’ve finally eaten there, I know why people are willing to wait. It was excellent and the cost was very reasonable. Plan ahead to wait and you won’t be sorry."
Best Vegan Restaurant Ever!,Date of visit: January 2019,Came for my birthday and as I was doing Vegaunuary it was a good choice. It came recommended and we cane at 4.30 before it was busy. Had artichoke for starters and tandoori for mains. Excellent presentation and we thought worth the money for a London vegan restaurant. Would definitely come again
"I'm not vegetarian, but this place is just Soooo Good!",Date of visit: February 2019,"I've been eating here for over 30 years and it just gets better. My advice is always to arrive slightly early so you know you're going to get a seat. The food is outstanding and the mocktails, especially the pair and the pineapple-based ones are truly gorgeous. We have taken the kids with us a few times, and they always eat the lot."
Good place but long wait,>  >  >,"Went here as looking for vegan options. We had to queue for a table, and couldn't really leave and come back as they just shout when a table is free. That said the cocktails were excellent to while away the time. The place is buzzing. The food was tasty and plentiful and the staff helpful and friendly."
"Amazing, Amazing",Date of visit: February 2019,"We thought going early on a Saturday would avoid crowds, so we showed up at 5:00 to a packed house! We put our names in anyway and had a drink and were seated in about 30 minutes. I had the SriLanka curry dish, which was amazing. And my friend had the burger. I would go back again and again...it's worth a wait."
Top of the class!,Date of visit: February 2019,"OK, I admit it, I'm a carnivore. But in a single visit to Mildred's I'm tempted to sign any pledge you want. The service was relaxed and friendly, but you had the impression that they cared. The food was delicious. The clever combinations of herbs and spices were off the scale. And such good value. So I bought the cookery book and will most definitely be coming again, and bringing other meat eaters so that we can enjoy the revelation of fabulous vegetarian cuisine together!"
Great place.,Date of visit: February 2019,We had a lovely Saturday evening at Mildred’s visiting from out of town. Our party of four was seated very promptly and we had excellent service all evening. Delicious cocktails and great food. The restaurant even posted me back the hat I left behind - above and beyond!
,,
Luncheon with locals,>,"A very nice place, well decorated with paintings and lighting, a glass ceiling covered with greens, tasty and healthy food. It seems locals like it the most, less tourists contrary to many other places around."
An absolutely delicious meal from start to finish! Must visit when in London! So good!!,>  >  >,"Had the best meal of our entire week in London at Mildred's. Service was impeccable & laid back atmosphere put me & the kids at ease on a busy Friday night. Started off with delicious wine & beer, mushroom pie for me, buffalo chix sandwich for hubby, chix tandoori for my 11 year old, assorted apps for my daughter (gyoza, broccolini, & chix filet). All was super delicious & served very quickly.Finished with 3 amazing desserts (apple crumble, sundae, & chocolate brownie). Best part of a really great meal. So great to see a vegan/vegetarian place become packed on a Friday night with people of all ages coming in for drinks & food. A queue was forming as well so the place was so fun to be in. Waitstaff was great even though shorthanded. Will def come again when we're back in London. Would love to try brunch."
All good,Date of visit: January 2019,Definitely was not disappointed by the food or the service. First rate. This was my first time in a vegan restaurant and I’ll be back.
Great atmosphere,>  >  >  >,"My vegan friend was visiting from out of town, so we thought we would try Mildred's out. The food was stunning. The waitresses were super nice and the place was packed. The barista made us some fantastic drinks while we waited for our table as well. I do recommend this place (even as the steak lover that I am)."
Almost there.,Date of visit: January 2019,"I did enjoy my meal at Mildred’s. It was my first time there so it’s my only benchmark. The restaurant itself is a cosy spot and the choices on the menu were intriguing. The service was wonderful and the food itself was gorgeous but flavour didn’t follow IMO. It was a tad bland I felt and basic salt and pepper would have improved it but with Mildred’s reputation they can do even better than that. I think they’re a really good choice and I would dine there again but I think they, with ease, could improve."
salads,Date of visit: January 2019,"Went there with a vegan friend, it's a small and cozy spot, they have daily chsnging salad bowls, we ordered from the alacarte menu but to be hon eee st salad plate was better than the other dishes"
