Title,Title_link,partial_entry,rev_wrap,Headline,Field1
Good for a quick veggie meal near Covent Garden,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r669475667-By_CHLOE-London_England.html,"Pretty inside, swingy chairs. 

Great service and great sweet potato.

Really close to Covent Garden and wasn’t too busy.",Date of visit: April 2019,Good for a quick veggie meal near Covent Garden,"Pretty inside, swingy chairs. Great service and great sweet potato.Really close to Covent Garden and wasn’t too busy."
Good but nut problem,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r669475630-By_CHLOE-London_England.html,"I had the guac burger which I enjoyed, however I only ordered this because so many of the menu items contain nuts, which I am allergic to. Even the chocolate chip cookie has nuts in and they don’t point this out on the menu or...More",Date of visit: April 2019,Good but nut problem,"I had the guac burger which I enjoyed, however I only ordered this because so many of the menu items contain nuts, which I am allergic to. Even the chocolate chip cookie has nuts in and they don’t point this out on the menu or on the sign. I would have gone ahead and eaten it if I hadn’t asked the staff before I did (after I had already touched it). It’s disappointing that there are still places being so careless with their allergens. Someone with a severe allergy could die from eating something such as a chocolate chip cookie which you wouldn’t typically expect to contain nuts. I would say the food is good however I would be extremely cautious if you have a nut allergy. Luckily mine isn’t so bad so I was able to touch the cookie with no reaction, however there are so many people with terrible allergies who could have got seriously ill. I would have given a good review otherwise however I don’t think this is acceptable when people’s lives can be put in danger."
Great atmosphere and price,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r669469559-By_CHLOE-London_England.html,"The BLT was really nice, they didn’t hold back on the avocado. The mac n cheese was delicious and creamy :)",Date of visit: April 2019,Great atmosphere and price,"The BLT was really nice, they didn’t hold back on the avocado. The mac n cheese was delicious and creamy :)"
Service and food,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r669465048-By_CHLOE-London_England.html,"Amazing food, especially the pesto pasta. Service is always generous too! 
They have swinging cage chairs- super cool and fun!",Date of visit: April 2019,Service and food,"Amazing food, especially the pesto pasta. Service is always generous too! They have swinging cage chairs- super cool and fun!"
Guacing el,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r669393655-By_CHLOE-London_England.html,I was served by the happy smiley Raquel! She was really polite and helpful. The food is amaaaazing! The aioli and chipotle sauce was so so good. I had the guac burger which I can highly recommend. Amazing vegan place! Deffo visit if your in...More,Date of visit: April 2019,Guacing el,I was served by the happy smiley Raquel! She was really polite and helpful. The food is amaaaazing! The aioli and chipotle sauce was so so good. I had the guac burger which I can highly recommend. Amazing vegan place! Deffo visit if your in Covent Garden area.
Fantastic Food and Service,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r669390171-By_CHLOE-London_England.html,"I arrived at chloe to be greeted by the nicest woman behind the counter. She was such a star and so helpful with explaining the menu. And she made me laugh. The food is divine whether your vegan or not this burger was top notch,...More",Date of visit: April 2019,Fantastic Food and Service,"I arrived at chloe to be greeted by the nicest woman behind the counter. She was such a star and so helpful with explaining the menu. And she made me laugh. The food is divine whether your vegan or not this burger was top notch, I'm so stuffed with I could put more in"
Love it!,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r669386805-By_CHLOE-London_England.html,Truly delicious vegan food! And excellent patient service unlike so many places in central London. Will definitely come back again.,Date of visit: April 2019,Love it!,Truly delicious vegan food! And excellent patient service unlike so many places in central London. Will definitely come back again.
,,,,,
Vegan paradise,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r669384954-By_CHLOE-London_England.html,"Delicious vegan burgers and friendly staff.
Raquel very nice and helpful.
The restaurant is a relaxing place in a busy area.",Date of visit: April 2019,Vegan paradise,Delicious vegan burgers and friendly staff.Raquel very nice and helpful.The restaurant is a relaxing place in a busy area.
Must Go-To Vegan Restaurant,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r669376132-By_CHLOE-London_England.html,"The food is delicious. Perfect for a healthy bite when in central London.

bonus: they have chairs that are swings!",Date of visit: April 2019,Must Go-To Vegan Restaurant,The food is delicious. Perfect for a healthy bite when in central London.bonus: they have chairs that are swings!
Excellent service,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r669374318-By_CHLOE-London_England.html,"I love chloes and regularly have lunch here. Raquel, my server was such a delight. Highly recommend if your VEGAN! #vgang",Date of visit: April 2019,Excellent service,"I love chloes and regularly have lunch here. Raquel, my server was such a delight. Highly recommend if your VEGAN! #vgang"
Lovely food and friendly service,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r669002620-By_CHLOE-London_England.html,"I went for a quick bite with my friend. We ordered chips with cashew basil dip, cupcakes, artichoke dip and tortilla chips and a meatball sandwich. My favorite were the chips and the basil dip, as well as the meatball sandwich. My friend enjoyed her...More",Date of visit: April 2019,Lovely food and friendly service,"I went for a quick bite with my friend. We ordered chips with cashew basil dip, cupcakes, artichoke dip and tortilla chips and a meatball sandwich. My favorite were the chips and the basil dip, as well as the meatball sandwich. My friend enjoyed her artichoke dip but was quite disappointed that the tortilla chips were not home made. Overall, the food was good. We definitely have different preferences for food and enjoyed different things. The restaurant is very clean and cozy. The music wasn't too loud either. Overall a good experience."
Food is different from the NYC locations,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r669002543-By_CHLOE-London_England.html,"I visited from NYC, having been to the NYC locations and this place has decent food but I’d come without expectations that the food will be like the NYC locations. We had the artichoke dip and the meatball sandwich and the dishes were quite different....More",Date of visit: April 2019,Food is different from the NYC locations,"I visited from NYC, having been to the NYC locations and this place has decent food but I’d come without expectations that the food will be like the NYC locations. We had the artichoke dip and the meatball sandwich and the dishes were quite different. The atmosphere and the Chloestess cupcake were on par though!"
Best vegan meal since being vegan!,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r669000380-By_CHLOE-London_England.html,"I am so happy my friend showed me this place. Vegan Fish N Chips was the best. I even took a sandwich and cupcake for the road. 

LOVE IT!",>,Best vegan meal since being vegan!,I am so happy my friend showed me this place. Vegan Fish N Chips was the best. I even took a sandwich and cupcake for the road. LOVE IT!
Great Vegan food,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r668894913-By_CHLOE-London_England.html,Really enjoyed the fish n chips and mac and cheese; great vibe with the music played and excellent service from both Francis and Noora. Will definitely be back soon!,Date of visit: April 2019,Great Vegan food,Really enjoyed the fish n chips and mac and cheese; great vibe with the music played and excellent service from both Francis and Noora. Will definitely be back soon!
Best Vegan Food!,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r668859072-By_CHLOE-London_England.html,"Super yummy vegan food & comes quickly too. The staff are so lovely, especially Francis. Always ordering the quinoa taco bowl!!",>,Best Vegan Food!,"Super yummy vegan food & comes quickly too. The staff are so lovely, especially Francis. Always ordering the quinoa taco bowl!!"
Go to vegan spot,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r668854861-By_CHLOE-London_England.html,"Love this place- it’s one of my go to spots during work and to bring friends to! Best salads, and best chipotle aioli - I would buy it by the bottle!",Date of visit: April 2019,Go to vegan spot,"Love this place- it’s one of my go to spots during work and to bring friends to! Best salads, and best chipotle aioli - I would buy it by the bottle!"
Excellent,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r668849998-By_CHLOE-London_England.html,"The food was very nice and was at a very good price - dispels the myth that vegan food is expensive.
The atmosphere is very fun and warm as well. 
I will be returning for sure.",Date of visit: April 2019,Excellent,The food was very nice and was at a very good price - dispels the myth that vegan food is expensive.The atmosphere is very fun and warm as well. I will be returning for sure.
,,,,,
Amazing food!,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r668848986-By_CHLOE-London_England.html,"The Mac and cheese was the best vegan one I’ve ever had! Love it here, even my Omni friend loved it!",>,Amazing food!,"The Mac and cheese was the best vegan one I’ve ever had! Love it here, even my Omni friend loved it!"
Great food,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r668846545-By_CHLOE-London_England.html,Delicious burgers my brother is not vegan but loved it and said it was the best burger he’s ever had.,Date of visit: April 2019,Great food,Delicious burgers my brother is not vegan but loved it and said it was the best burger he’s ever had.
Great healthy vegan food served by great employees,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r668412377-By_CHLOE-London_England.html,Had a lovely salad and a great chat with Hussain. Definitely coming back for more. Sweet treats are 👌🏽,Date of visit: April 2019,Great healthy vegan food served by great employees,Had a lovely salad and a great chat with Hussain. Definitely coming back for more. Sweet treats are
By CHLOE,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r668405588-By_CHLOE-London_England.html,Really Good Food! Especially the Chocolate Cupcake! Highly recommended! Would come here again! Best place to eat for Vegans!,Date of visit: April 2019,By CHLOE,Really Good Food! Especially the Chocolate Cupcake! Highly recommended! Would come here again! Best place to eat for Vegans!
Delish burgers,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r668395603-By_CHLOE-London_England.html,"Had the classic and the guac burger which was great. Elvis was lovely and helped us with choosing desert and a smoothie, would recommend a visit!",Date of visit: April 2019,Delish burgers,"Had the classic and the guac burger which was great. Elvis was lovely and helped us with choosing desert and a smoothie, would recommend a visit!"
Great place!!,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r668355601-By_CHLOE-London_England.html,"Such a cute spot!! Great food, great people! 100% worth a visit! I’m not vegan either, and I still enjoyed every mouthful!",Date of visit: April 2019,Great place!!,"Such a cute spot!! Great food, great people! 100% worth a visit! I’m not vegan either, and I still enjoyed every mouthful!"
Loved it!,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r668354249-By_CHLOE-London_England.html,Had the guacamole burger and sweet potato fries and absolutely LOVED IT! such a cute place with great atmosphere and amazing food!,>,Loved it!,Had the guacamole burger and sweet potato fries and absolutely LOVED IT! such a cute place with great atmosphere and amazing food!
The place to visit!,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r668342365-By_CHLOE-London_England.html,"Got the sunrise burrito from the brunch menu and it was absolutely delicious! i love to try new things every time i come to this place. cant even tell the menu is 100% vegan! so much variety, and so yum! Staff was really nice as...More",>,The place to visit!,"Got the sunrise burrito from the brunch menu and it was absolutely delicious! i love to try new things every time i come to this place. cant even tell the menu is 100% vegan! so much variety, and so yum! Staff was really nice as well!"
"Fabulous, fast & friendly feast",https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r668316037-By_CHLOE-London_England.html,Cashier complemented my dress and was really helpful in providing gluten-free options for my meal even though she was a new employee to the shop. The food was really tasty! Really liked the vegan sausage of the early bird menu. The mix Fries were really...More,Date of visit: April 2019,"Fabulous, fast & friendly feast",Cashier complemented my dress and was really helpful in providing gluten-free options for my meal even though she was a new employee to the shop. The food was really tasty! Really liked the vegan sausage of the early bird menu. The mix Fries were really savoury and so was the hash Browns my. Love that everything is compostable! AND BIGGEST + THEY HAVE GEBDER NEUTRAL BATROOMD ❤️
GF heaven,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r668313439-By_CHLOE-London_England.html,Being GF is a huge struggle however chloe have so many delicious options and the staff go out their way to make sure they explain everything clearly. And the food is Delicious!!,Date of visit: April 2019,GF heaven,Being GF is a huge struggle however chloe have so many delicious options and the staff go out their way to make sure they explain everything clearly. And the food is Delicious!!
,,,,,
Fun and Delicious,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r668313202-By_CHLOE-London_England.html,"Great customer service, lots of choice for vegan and veggies eaters. Cater for gluten free food. The pesto meatball sub is highly recommended!",Date of visit: April 2019,Fun and Delicious,"Great customer service, lots of choice for vegan and veggies eaters. Cater for gluten free food. The pesto meatball sub is highly recommended!"
100% recommend,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r668311970-By_CHLOE-London_England.html,"First time at By Chloe, a great experience, amazing food and great service, was served by the lovely Raquel x",Date of visit: April 2019,100% recommend,"First time at By Chloe, a great experience, amazing food and great service, was served by the lovely Raquel x"
10/10,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r668310920-By_CHLOE-London_England.html,visited by Chloe for the first time and absolutely loved it. We were served by the lovely Raquel and we already can’t wait to come back again !!  X,Date of visit: April 2019,10/10,visited by Chloe for the first time and absolutely loved it. We were served by the lovely Raquel and we already can’t wait to come back again !! X
Vegan food,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r668296420-By_CHLOE-London_England.html,"The staff is great, Raquel is really helpful and friendly! Gorgeous interiors and the best vegan food in town 😋",Date of visit: April 2019,Vegan food,"The staff is great, Raquel is really helpful and friendly! Gorgeous interiors and the best vegan food in town"
Highly recommended,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r668284399-By_CHLOE-London_England.html,"Second time in By Chloe, grest service and delicious food. In the photo - kale cesar, mac n cheese and fish n chips",>,Highly recommended,"Second time in By Chloe, grest service and delicious food. In the photo - kale cesar, mac n cheese and fish n chips"
Loved it,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r668284097-By_CHLOE-London_England.html,I ordered the classic burger and sweet potato fries - loved the whole layout and vibe of the place and staff were great - will come again,Date of visit: April 2019,Loved it,I ordered the classic burger and sweet potato fries - loved the whole layout and vibe of the place and staff were great - will come again
"Good food, good service",https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r668284075-By_CHLOE-London_England.html,Staff are all so friendly and the food was lovely. I ordered the guacamole burger and everything was so tasty and fresh. definitely coming again.,Date of visit: April 2019,"Good food, good service",Staff are all so friendly and the food was lovely. I ordered the guacamole burger and everything was so tasty and fresh. definitely coming again.
Great food,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r668281746-By_CHLOE-London_England.html,"The food was delicious, fresh and healthy.Great service and the staff were very friendly. Especially enjoyed the Greek salad and sweet potato fries!! 🥗🍟",Date of visit: April 2019,Great food,"The food was delicious, fresh and healthy.Great service and the staff were very friendly. Especially enjoyed the Greek salad and sweet potato fries!!"
Great,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r668278607-By_CHLOE-London_England.html,"Delicious food and service
Had salad fish n chips and mac n cheese. Second time here and will definitely come again",Date of visit: April 2019,Great,Delicious food and serviceHad salad fish n chips and mac n cheese. Second time here and will definitely come again
Amazing brunch!,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r668272371-By_CHLOE-London_England.html,I love this place! Super friendly and nice staff (especially Francis) combined with out-of-this-world food! I keep bringing my non-vegan friends here all the time and have yet to find one that doesn’t like this place and the food!❤️,>,Amazing brunch!,I love this place! Super friendly and nice staff (especially Francis) combined with out-of-this-world food! I keep bringing my non-vegan friends here all the time and have yet to find one that doesn’t like this place and the food!❤️
,,,,,
Amazing service!,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r668257437-By_CHLOE-London_England.html,Food was really delicious - had the Mornin Glory and the Sunrise. But most importantly the service was outstanding. It was refreshing to have lovely and genuine people serving us. Special shout out to Francis!,Date of visit: April 2019,Amazing service!,Food was really delicious - had the Mornin Glory and the Sunrise. But most importantly the service was outstanding. It was refreshing to have lovely and genuine people serving us. Special shout out to Francis!
Perfect for brunch and lunch!,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r668255303-By_CHLOE-London_England.html,"Loved the smoothiebowl and avocado toast! 😍 
The burgers really nice as well! The best sweetpotatochips 😍
Really good service thanks to Francis 😀",>,Perfect for brunch and lunch!,Loved the smoothiebowl and avocado toast! The burgers really nice as well! The best sweetpotatochips Really good service thanks to Francis
Excellent,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r668147987-By_CHLOE-London_England.html,"Excellent food and service, the salads are great and the blueberry muffin is delicious. I would go there again",>,Excellent,"Excellent food and service, the salads are great and the blueberry muffin is delicious. I would go there again"
Excellent,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r668129360-By_CHLOE-London_England.html,"Wonderful fish and chips.
Super vegan water.
Need to pass by.
Awesome staff
Lovely vibes
Just wow man 
Beng beeeng",Date of visit: April 2019,Excellent,Wonderful fish and chips.Super vegan water.Need to pass by.Awesome staffLovely vibesJust wow man Beng beeeng
Dope Vegan Spot,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r668128617-By_CHLOE-London_England.html,Good fish and chips great pasta. Vegan awesomeness in the heart of London. Bring your friends and family,Date of visit: April 2019,Dope Vegan Spot,Good fish and chips great pasta. Vegan awesomeness in the heart of London. Bring your friends and family
Friendly staff and delicious nourishing food!,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r668124154-By_CHLOE-London_England.html,Always love visiting by Chloe and this location’s staff is above and beyond always friendly and attentive. Someone is always cleaning off tables or straightening chairs. Tad bit expensive but the food is always delicious and you feel great after you’ve eaten it! The Thai...More,>,Friendly staff and delicious nourishing food!,Always love visiting by Chloe and this location’s staff is above and beyond always friendly and attentive. Someone is always cleaning off tables or straightening chairs. Tad bit expensive but the food is always delicious and you feel great after you’ve eaten it! The Thai salad is always my go to yum!
😁😁😁😁,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r668100368-By_CHLOE-London_England.html,"Some of the best food I've had the pleasure of eating. Really made my day! Speedy service from a smiley, friendly group of staff. Would highly recommend.",Date of visit: April 2019,😁😁😁😁,"Some of the best food I've had the pleasure of eating. Really made my day! Speedy service from a smiley, friendly group of staff. Would highly recommend."
Hands down best Vegan food I’ve ever had,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r668071155-By_CHLOE-London_England.html,Cannot sing By Chloe’s praise enough. Hands down the best vegan food I have ever had. Never disappoints. The taco salad is delicious!,>,Hands down best Vegan food I’ve ever had,Cannot sing By Chloe’s praise enough. Hands down the best vegan food I have ever had. Never disappoints. The taco salad is delicious!
Delicious vegan afternoon tea,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r668063803-By_CHLOE-London_England.html,Excellent afternoon tea with great service by Hussein who looked after us the entire time. He even took feedback at the end so they could improve their offering. Highly recommend,Date of visit: April 2019,Delicious vegan afternoon tea,Excellent afternoon tea with great service by Hussein who looked after us the entire time. He even took feedback at the end so they could improve their offering. Highly recommend
Yummy yummy in my tummy :D,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r668043088-By_CHLOE-London_England.html,"Yummy yummy, delicious food and smiling staff serving, awesome place :D I love the beetroot ketchup and mac n cheese",Date of visit: April 2019,Yummy yummy in my tummy :D,"Yummy yummy, delicious food and smiling staff serving, awesome place :D I love the beetroot ketchup and mac n cheese"
,,,,,
Best brunch ever !!,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r668023959-By_CHLOE-London_England.html,"What a wonderful team to welcome me, the food is always on point and the wait is never too long.

Everything is in brand which is something that I always appreciate !! 

The team is always ready to help and smiley no matter how busy...More",Date of visit: April 2019,Best brunch ever !!,"What a wonderful team to welcome me, the food is always on point and the wait is never too long.Everything is in brand which is something that I always appreciate !! The team is always ready to help and smiley no matter how busy it is.Definitely highly recommend to pay a visit and try their deliciousness ✨✨✨"
Horrible manufactured rubbish,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r667906588-By_CHLOE-London_England.html,Stopped here for the Vegan Afternoon tea on Sunday afternoon. £20 per person and it was terrible. Sandwiches were refrigerated and served cold and slightly damp. The filling was only identifiable by the type of bread they were served in. Cakes were disgustingly sweet and...More,Date of visit: April 2019,Horrible manufactured rubbish,Stopped here for the Vegan Afternoon tea on Sunday afternoon. £20 per person and it was terrible. Sandwiches were refrigerated and served cold and slightly damp. The filling was only identifiable by the type of bread they were served in. Cakes were disgustingly sweet and all tasted the same. God only knows why you would top a scone with icing. Avoid at all costs...
Amazing vegan spot,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r667876824-By_CHLOE-London_England.html,Amazing food and yummy desserts. Highly recommend for vegetarian/ vegan eaters. They also have a huge selection to chose from.,Date of visit: April 2019,Amazing vegan spot,Amazing food and yummy desserts. Highly recommend for vegetarian/ vegan eaters. They also have a huge selection to chose from.
Food,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r667870420-By_CHLOE-London_England.html,This place has by far the best vegan food in town! Today I got a delicious smoothie and the wonderful kale Caesar salad. Will def be back for more soon :) shoutout to Katherine for the great service!,Date of visit: April 2019,Food,This place has by far the best vegan food in town! Today I got a delicious smoothie and the wonderful kale Caesar salad. Will def be back for more soon :) shoutout to Katherine for the great service!
Obsessed,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r667868079-By_CHLOE-London_England.html,"Have ordered a couple times from deliveroo but finally visited in-store and had the best time! Food is absolutely amazing, such a nice addition to the London vegan scene.",Date of visit: April 2019,Obsessed,"Have ordered a couple times from deliveroo but finally visited in-store and had the best time! Food is absolutely amazing, such a nice addition to the London vegan scene."
Amazing!,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r667867516-By_CHLOE-London_England.html,"I usually order off deliveroo but had such a fab experience in the restaurant. Good food, lovely staff and really nice chilled atmosphere!",Date of visit: April 2019,Amazing!,"I usually order off deliveroo but had such a fab experience in the restaurant. Good food, lovely staff and really nice chilled atmosphere!"
Favourite restaurant,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r667849555-By_CHLOE-London_England.html,"Absolutely love By Chloe, the staff are always really friendly and the food is amazing- not often you go anywhere as a vegan and can eat everything that’s on he menu! And my non-vegan friends love it too!",Date of visit: April 2019,Favourite restaurant,"Absolutely love By Chloe, the staff are always really friendly and the food is amazing- not often you go anywhere as a vegan and can eat everything that’s on he menu! And my non-vegan friends love it too!"
Bens first Vegan Tuna experience,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r667842731-By_CHLOE-London_England.html,"This place really satisfied the craving for a nice Tuna sandwich. Please don’t order if you hate mustard, but do order it you like chickpeas. As you can see, I liked it!",>,Bens first Vegan Tuna experience,"This place really satisfied the craving for a nice Tuna sandwich. Please don’t order if you hate mustard, but do order it you like chickpeas. As you can see, I liked it!"
Great vegan restaurant,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r667839022-By_CHLOE-London_England.html,The food is really amazing and the place looks very nice. I recommend it for any anyone really......,Date of visit: April 2019,Great vegan restaurant,The food is really amazing and the place looks very nice. I recommend it for any anyone really......
Cute!,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r667834845-By_CHLOE-London_England.html,"Great atmosphere and friendly staff. They have really good vegan options, including take out options that you can grab to go",Date of visit: April 2019,Cute!,"Great atmosphere and friendly staff. They have really good vegan options, including take out options that you can grab to go"
,,,,,
Amazing,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r667834270-By_CHLOE-London_England.html,"Good vegan selection and friendly people. Would recommend 10/10 
I really like the location and easy to find. Good insta spot",Date of visit: April 2019,Amazing,Good vegan selection and friendly people. Would recommend 10/10 I really like the location and easy to find. Good insta spot
Delicious vegan spot,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r667808306-By_CHLOE-London_England.html,"Very friendly staff, delicious vegan food and a beautiful interior. 
You feel really comfortable right away.
I will for sure come back :)",Date of visit: April 2019,Delicious vegan spot,"Very friendly staff, delicious vegan food and a beautiful interior. You feel really comfortable right away.I will for sure come back :)"
Decent vegan fast food,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r667803188-By_CHLOE-London_England.html,This chain has had a good reputation for quality vegan fast food but when we learned Chloe Cascarelli was ousted from her own company in 2017 we decided to no visit them during our trip go NYC. However we did decide to break the boycott...More,>,Decent vegan fast food,"This chain has had a good reputation for quality vegan fast food but when we learned Chloe Cascarelli was ousted from her own company in 2017 we decided to no visit them during our trip go NYC. However we did decide to break the boycott for our visit to London so we can try them here.We took the fish & chips which was nice (tofu “meat” nori sheet for fishy flavor, then batter) but didn’t beat out our favourite vegan fish & chips we had. The also had the Morning Glory which read to us on the menu as a breakfast plate but was in reality a sandwich. It doesn’t use the word “sandwich” anywhere in the menu which I would recommend they do to lessen confusion. The sandwich was nice, especially liked the type of bun they used. All pretty high quality - which was reflected in the price. All in all it was decent but not mind-blowing when set against our high standards for vegan food in London."
Great breakfast,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r667802817-By_CHLOE-London_England.html,I have literaly just landed in London and arrived here. Great great food! I took the Sunrise breaky and the cardi beet smoothie and loved them both!,Date of visit: April 2019,Great breakfast,I have literaly just landed in London and arrived here. Great great food! I took the Sunrise breaky and the cardi beet smoothie and loved them both!
Great vegan food,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r667700812-By_CHLOE-London_England.html,"Best vegan meatball sub, and the fish and chips tasted of fish it was great 
Try the pesto meatball sub 
And fish and chips",Date of visit: April 2019,Great vegan food,"Best vegan meatball sub, and the fish and chips tasted of fish it was great Try the pesto meatball sub And fish and chips"
THE vegan adress in London,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r667697901-By_CHLOE-London_England.html,"Amazing and delicious restaurant ! The crew is so adorable ! 
I recommand this fabulous place ! Vegan food is so good in By Chloe ! 
Mark is really so cute, his smile is a real pleasure to see !",Date of visit: April 2019,THE vegan adress in London,"Amazing and delicious restaurant ! The crew is so adorable ! I recommand this fabulous place ! Vegan food is so good in By Chloe ! Mark is really so cute, his smile is a real pleasure to see !"
Excellent Vegan Cheat Meal!,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r667688819-By_CHLOE-London_England.html,"I was very nicely welcomed by Mark. The food was just excellent and I highly recommend the Artichoke dip. It is for sure a successful cheat meal as I left completely full. Plus, the location is very nice.",Date of visit: April 2019,Excellent Vegan Cheat Meal!,"I was very nicely welcomed by Mark. The food was just excellent and I highly recommend the Artichoke dip. It is for sure a successful cheat meal as I left completely full. Plus, the location is very nice."
Yummy food!,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r667656902-By_CHLOE-London_England.html,It was our first time to this restaurant and we loved the food I would recommend this place if your in the area. The foods tasty and friendly staff.,Date of visit: April 2019,Yummy food!,It was our first time to this restaurant and we loved the food I would recommend this place if your in the area. The foods tasty and friendly staff.
review,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r667648182-By_CHLOE-London_England.html,"Lovely place with good service and fun chairs, the food is delicious and all vegan so for an amazing cause! had a great time here would visit again",Date of visit: April 2019,review,"Lovely place with good service and fun chairs, the food is delicious and all vegan so for an amazing cause! had a great time here would visit again"
My fave food,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r667636330-By_CHLOE-London_England.html,It’s such a sociable setting and the food is always mouthwatering!! Never disappoints and I always have fun!,Date of visit: April 2019,My fave food,It’s such a sociable setting and the food is always mouthwatering!! Never disappoints and I always have fun!
,,,,,
LOVE IT!,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r667628953-By_CHLOE-London_England.html,"So amazing! Such a cute instagrammable place and the best vegan food in town! I absolutely love the avocado pesto Pasta and the meatball sub, you NEED to try!",Date of visit: April 2019,LOVE IT!,"So amazing! Such a cute instagrammable place and the best vegan food in town! I absolutely love the avocado pesto Pasta and the meatball sub, you NEED to try!"
Best vegan food!,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r667628938-By_CHLOE-London_England.html,Some of the best vegan food in London! The Guac Burger was amazing! Would definitely come back again!!,Date of visit: April 2019,Best vegan food!,Some of the best vegan food in London! The Guac Burger was amazing! Would definitely come back again!!
The best hanging chairs,https://www.tripadvisor.com/ShowUserReviews-g186338-d13473946-r667608598-By_CHLOE-London_England.html,Love the interior chilling in the hanging chairs and food amazing really tasty and original menu . A matcha 🍵 latte sat in the hanging chairs was perfection .,Date of visit: April 2019,The best hanging chairs,Love the interior chilling in the hanging chairs and food amazing really tasty and original menu . A matcha latte sat in the hanging chairs was perfection .
